2016-07-18 04:03:33	RT @marysattler32 Comment on Republicans Reject Medical Marijuana, Agree on Building Trump’s Wall in 2016 Campaign Platform by Neigh… https://t.co/UIIBPhdGcB
2016-07-18 15:13:33	RT @dcexaminer JUST IN: Trump delegates fire back at anti-Trump effort: "We are the grassroots" https://t.co/zufDPSl9U2 #RNCinCLE https://t.co/1Pk0636Zal
2016-07-18 20:24:41	@USInGodWeTrust @PolitiBunny @Johnny_Joey @MarcusLuttrell So, disliking Clinton has to equal liking Trump? Intellectual dishonesty.
2016-07-18 08:04:23	RT @tyleroakley reminder: no trump pls
2016-07-18 21:08:52	Very big cheers for Rudy Giuliani from GOP crowd: "What I did for New York, Donald Trump will do for America"
2016-07-18 01:06:58	Scott Baio to Stump for Trump at the Republican National Convention - https://t.co/9mhxsjHkrK
2016-07-17 23:51:16	RT @MaxBoot Trump is aggressively, defiantly ignorant. He's thumbing his nose at anyone who reads anything longer than a tweet. https://t.co/u83rCavwOO
2016-07-18 18:32:30	Donald Trump Jr. threatens RNC dissenters: ‘Your careers are finished’ https://t.co/eismbB7OXG
2016-07-18 00:18:47	RT @NozNewz_com Kristol: At RNC Convention Trump Needs To Say He Regrets Some of the Things He Has Said https://t.co/SGY9kFVaiU
2016-07-18 15:03:33	RT @activist360 Words, you can't trust them: Other than tweets, Trump doesn't read, which is to say, he reads less than Sarah Palin https://t.co/UcHMT2IHpv
2016-07-18 21:16:27	@catpancake Look how we prettied up with this "art". Giant gaudy plastic animals seems appropriate to welcome Trump.
2016-07-18 22:11:57	[last night of #RNCinCLE] *Trump walks on stage* *all lights go dark* *a single screen flickers to life* ... 🎶Never gonna give you up, nev-🎶
2016-07-18 22:08:16	RT @CNN Donald and Melania Trump embrace after her #GOPConvention speech https://t.co/rBRl8OGoqo https://t.co/pzSSFHlxCe
2016-07-18 18:53:02	RT @the_dww Isn't the explanation obvious? RNC and Trump goons didn't want any factual, real-time reporting. https://t.co/hWZqujWWoV
2016-07-18 15:45:51	RT @mitchellvii Here we are, Trump just set Republican voting record by 1.4 million votes, took 1536 delegates, and still Cruzers are trying to hurt him.
2016-07-18 18:30:52	RT @TEN_GOP BOOM! Trump leads with military! Trump - 49% Hillary - 20% #RNCinCLE #GOPConvention #MakeAmericaSafeAgain https://t.co/jCud5SEzxp
2016-07-18 21:25:08	Trump or Kanye? #RNCinCLE
2016-07-18 13:17:04	Trump has annihilated Clinton on voting for the Iraq war and when it was brought up that pence did, he said "he's allowed to make mistakes"
2016-07-18 13:54:42	Is Donald Trump merely renting the Republican Party, or has he now taken ownership of it? https://t.co/OjFCwi7vqW by @GeraldFSeib
2016-07-18 14:16:13	RT @onlxn RYAN: I'm worried there'll be violence. TRUMP: Things do seem tense these days. RYAN: TRUMP: No idea why. Just one of those things, I guess
2016-07-18 13:17:49	RT @tj02192943 Look what Lyin Sleazy Ted Cruz is trying to pull! Couldn't beat Trump No way he can beat HillBitch He's such a loser https://t.co/bGilyFs5iB
2016-07-18 22:22:22	RNC Rebellion Against Donald JOKER Trump_ https://t.co/M0A30P2KB7
2016-07-18 19:01:34	RT @HillaryClinton "Donald Trump lost control of his own convention before it even started." #RNCinCLE https://t.co/esmsUx29iH
2016-07-18 17:13:18	This tweet has been removed in accordance with Twitter's policy. Twitter requires all its partners to remove tweets from their systems as soon as they are deleted on Twitter itself.
